RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020
71038,162,30318,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,118936,120122,122038,123808,125848,127823,130470,132883,135183,137305,139877,142510,144373,145456,146375,147347,148403,149556,150107,150986,151589,152668,153450,154818,156351,158427,160498,162586,164081,165149,166104,167026,168902,170087,171637,173030,174869,176651,177707,178878,180075,181708,182988,184668,186227,188497,190851,192916,194816,196089,197881,200004,202191,204395,207093,209965,212489,214940,216309,218086,219670,222527,225556,228949,232111,235008,238041,241020,244091,245984,248160,249163,250951,252470,254552,255294,256222,257309,258140,258806,259562,261119,262960,265523,267538
71050,262,30331,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,91606,91909,92454,93403,95177,97084,99224,100970,103189,105070,106799,108228,108769,109871,110458,111673,112495,114047,115487,116882,117521,118199,119168,120330,121978,123066,124381,125254,125526,125343,124969,125184,125668,125995,126449,127312,128424,129815,130779,131541,132620,133532,134049,134748,135707,137505,139200,140683,141922,142237,142723,143275,144105,145394,147252,148704,150018,150890,151190,151315,151735,153691,156356,159106,161278,162845,164404,166372,168158,169437,170540,171365,172640,173691,174516,174756,175331,176303,177152,177879,178782,180166,182066,184377,186278
70808,301,30022,Zip,GA,GA,Johns Creek,Atlanta-Sandy Springs-Roswell,Fulton County,314143,316595,319315,321497,324470,328002,332465,336290,339525,343045,346318,350088,350817,351526,351741,353381,355520,357791,358912,359600,359744,360920,361388,361772,363302,365594,369066,371888,373317,373540,374452,376078,379093,379814,380865,381674,383539,385962,387062,387563,387700,388367,387908,388877,389872,393173,395904,398749,400854,401149,401402,402357,404361,407145,410798,413350,415130,416258,418071,420017,421409,423122,424982,427421,429202,430560,431579,432551,433245,432523,432377,431151,431320,431334,432466,432271,432146,431872,431638,431648,432207,433749,434649,436290,437304
70791,302,30004,Zip,GA,GA,Milton,Atlanta-Sandy Springs-Roswell,Fulton County,321086,323701,326428,329216,332586,336678,340926,344632,348046,351783,355326,358923,359835,360227,360443,361882,364160,366128,367720,369076,369826,371215,372163,373305,375344,378322,381934,384789,385893,386327,387343,388845,391385,392112,393447,394615,396832,399155,400321,400887,401570,402956,403317,404801,406508,410081,412765,415280,417066,417615,418322,419855,422203,424786,427979,430373,431967,433283,435244,437578,439384,441415,443534,445696,447108,448276,449638,451382,452944,453040,452981,452676,453089,453722,454500,454907,455490,456018,456317,456493,457159,458781,460420,462150,463781
70854,602,30075,Zip,GA,GA,Roswell,Atlanta-Sandy Springs-Roswell,Fulton County,315211,318071,321338,323452,326082,329661,334542,338315,341104,343876,346442,350134,351309,352176,351762,352450,354072,355736,356857,357817,358794,360639,361652,361941,362726,364741,368394,372064,374078,375272,376716,378931,382023,383077,384697,386430,389598,392488,393961,394532,395293,396717,397175,398405,399549,402813,405856,408735,410947,411743,412635,414296,416439,418783,421409,423444,424732,426025,427192,429004,429572,431330,433053,435729,437444,438776,439782,441489,443789,444469,444998,443573,444345,444728,446434,446155,446312,446489,446915,446843,446616,447157,447829,449612,450374
71029,1016,30309,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,219410,221869,224937,227820,231319,234632,237905,240881,243650,246710,249790,252880,254182,255077,255449,256315,257715,259376,261356,262755,263807,265149,266347,267656,269344,272066,275469,278554,280040,281025,282709,284776,287542,288370,289460,290422,292574,294717,296079,296663,297256,298097,297135,297854,298455,301922,304651,307581,309982,310880,311655,312737,314563,317303,321208,324260,326547,327840,330295,332833,334651,336111,337697,340755,343258,345053,346678,348368,350222,350328,349647,348054,347339,347797,348918,348445,348056,347749,347443,347186,347271,348684,350347,352695,354915
71047,1096,30328,Zip,GA,GA,Sandy Springs,Atlanta-Sandy Springs-Roswell,Fulton County,303639,306171,308863,311057,314011,317621,321965,325395,327946,330756,333657,337522,339268,340950,341389,342543,344418,346410,348203,349139,350013,351689,353274,354510,356714,359820,364276,368715,371510,373247,375151,378181,382320,383999,385888,387661,390592,393526,395440,396039,396402,397028,396512,397610,398877,403168,406383,409382,411150,411607,412183,414236,416795,420226,424274,427358,429323,430284,431737,433917,436066,439158,441480,443732,444800,445770,446907,448366,449836,449519,449716,449088,449845,450242,451798,452253,453413,454142,454625,454899,455622,457622,459205,461098,462176
71043,1166,30324,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,276796,278725,281197,283361,286266,289393,293023,296812,300628,304654,307900,311606,313875,315941,316821,317749,319935,322537,325123,326989,327967,330085,331707,333487,334902,336957,340480,344239,346509,347563,349148,351247,354389,355221,356839,357875,360573,363348,365658,367341,368314,370048,369507,370578,371765,375633,379073,382687,385463,387188,388437,390041,392515,395300,400137,404253,407899,410528,413396,416155,418112,419652,421504,424368,427436,430090,432372,434487,436112,436796,437431,437613,437807,438297,439361,439692,439542,439407,439023,438780,439103,440157,441190,442578,444480
70855,1284,30076,Zip,GA,GA,Roswell,Atlanta-Sandy Springs-Roswell,Fulton County,250203,252730,255808,258283,260923,263859,267505,270773,273490,276228,278539,281093,281388,281625,281456,282277,283977,285741,286795,287600,288005,289238,289805,290603,292098,294530,297545,300346,301937,302861,304057,305296,307592,308351,309955,311438,313904,316437,318110,319148,319946,321150,322203,324559,327013,330529,333528,336208,338317,338975,339941,341624,344153,346976,349996,352276,353866,355192,356447,358275,359834,362365,364489,366811,368257,369711,370972,372432,373626,373679,374654,374400,375438,375600,377033,377361,377960,378268,378578,378736,379313,380638,381306,382617,383102
71068,1470,30350,Zip,GA,GA,Sandy Springs,Atlanta-Sandy Springs-Roswell,Fulton County,293519,296143,298908,301158,303951,307425,311430,315209,318471,321629,323539,326276,327029,328781,329525,330928,332494,334075,335096,335969,336649,338155,338487,338772,339820,341993,345310,348400,350621,351886,353805,355056,357133,357131,358901,360489,363057,365252,366690,367092,367202,367512,366917,368399,370088,373791,376506,378926,380810,381142,381365,382838,384951,388300,392579,396181,398598,400175,402436,405220,407298,409647,411465,414016,416046,417972,419191,420717,422430,423058,422466,420826,420206,420461,422001,422031,422241,421953,422021,421852,422173,423474,425627,428487,431131
71036,1832,30316,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,151312,152775,154690,156836,159181,161832,164743,168025,170994,173487,176214,179357,183116,185811,187692,189016,190163,191056,191878,192513,192979,194086,196748,198992,200541,200817,202132,203687,206351,209226,212828,215746,218298,220605,221999,223334,225034,229063,232300,235318,236065,237816,237448,238777,240865,243906,245553,248041,250203,252559,253997,256474,259774,261919,265776,269789,274804,279186,283788,287154,290892,293922,298099,301746,305773,309152,312397,315018,316816,317593,318581,319751,320552,321057,321638,321928,321867,322653,323031,323331,323423,324361,325316,326482,327716
70959,1912,30213,Zip,GA,GA,Fairburn,Atlanta-Sandy Springs-Roswell,Fulton County,101088,101784,102810,104285,105984,108057,110787,113698,116822,119357,121766,124044,125652,126998,128437,129928,131881,133596,135517,137051,138011,138495,138816,139347,140611,142144,144225,146333,147707,148663,148926,149202,149981,150666,152066,153182,154680,155977,156656,156809,156877,157198,157604,158596,159682,161503,162704,164065,164717,164759,164720,165258,166386,167941,169617,171047,172260,173203,174079,175035,176283,178147,179906,181642,182900,183973,185031,186451,187655,188489,189245,189751,190524,191340,192662,193516,194497,195373,196225,196803,197653,198803,200202,201759,203130
71025,1929,30305,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,379672,384114,388534,392192,396299,401081,406012,410530,414256,418866,423893,429527,432171,433462,434101,435361,438445,441316,444339,446985,448931,451792,454166,456483,460180,465130,471715,477330,480232,481638,484296,486630,490638,490804,491978,493137,496039,499215,500305,500656,500920,502457,500948,502357,503298,508773,512467,516087,518635,519122,520575,522710,525507,528392,532743,536217,538422,539548,541239,543394,544000,544934,545357,547972,550183,552531,554606,556348,558040,557476,557410,555723,555809,556446,558595,558073,557623,556841,556231,555731,555986,557676,559094,561534,563590
71031,2158,30311,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,59352,59662,60199,60701,61236,61966,63065,64260,65622,66947,68506,69523,69763,70010,69925,70603,71557,73221,74498,75614,76270,77192,77664,78479,79603,80757,82690,83797,84648,84516,84980,85735,87121,87996,89133,90023,91288,93251,94395,95812,96465,97817,98578,100212,101895,104652,107337,110363,113114,114600,116299,118259,121746,125392,129148,132357,135445,138443,141894,145549,149755,154796,160455,166315,171581,175488,179496,182225,184826,185604,186791,187550,189528,191143,192832,193067,193055,193877,194665,196416,198140,200899,202883,204848,205449
71062,2336,30344,Zip,GA,GA,East Point,Atlanta-Sandy Springs-Roswell,Fulton County,66952,68238,68774,68981,69352,70227,71623,72823,74011,74975,75292,75304,75284,76173,77072,78530,79767,81039,81700,82496,83780,85502,87053,87744,87872,88031,89057,90088,91229,92158,93604,94707,95473,95413,96150,98163,101037,103839,105361,106288,107049,108119,108591,109438,110268,112324,114616,116531,118229,118428,119476,120789,122824,124632,127201,129577,132276,134471,134898,135106,135535,138699,141734,144957,146933,149014,150587,152778,154590,155581,157388,158782,161216,162659,164625,165351,166730,168060,169444,170231,171043,172424,173937,175838,176627
71060,2502,30342,Zip,GA,GA,Sandy Springs,Atlanta-Sandy Springs-Roswell,Fulton County,454045,458016,462915,467339,472554,478030,483495,488212,493039,498816,504395,510883,513059,514708,514718,516101,519351,522849,526739,529915,532393,535869,538494,540718,544632,549043,555492,560847,564504,566277,569598,573136,578146,578304,579389,579951,581888,584580,585234,585622,584712,585025,581826,581517,581946,587606,591059,594071,596192,597651,600804,605501,610948,616204,622241,626467,628494,629163,630453,633510,636239,639715,641834,644159,645811,647012,648078,649364,651339,651835,653764,653079,654520,654840,657458,657397,657662,658003,658558,658951,659446,660515,660380,661202,660488
71028,2775,30308,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,180250,182454,185391,187682,190918,193807,196724,198930,201279,204297,206887,209165,209645,210025,210509,211605,212871,214075,215886,217480,218761,219689,220747,222062,223950,226484,229210,231810,233327,234696,236282,237295,238873,239191,240547,241735,244032,246255,248004,249052,249686,250412,250062,252274,254279,258041,260208,262691,264608,265368,265816,266432,267864,270016,273234,275660,277481,278755,281301,283849,285477,286551,287973,290925,293308,295372,297472,299512,301449,301912,301835,301195,300118,300015,300123,299720,299510,299315,299023,298835,299289,301014,303074,305740,309580
